epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.87883,2.48772,5.31258,1.59597,0.72459,0.29358,0.14317,0.05944,1.94815,4.44983,1.39688,0.00021435,0.00021435,0.00021435
2,16.0944,1.80679,2.67667,1.24639,0.47041,0.54301,0.45162,0.19974,1.88077,2.54764,1.35923,0.000438604,0.000438604,0.000438604
3,22.3329,1.77872,2.33332,1.22047,0.84377,0.40713,0.4214,0.19959,1.73485,2.31263,1.26694,0.000658332,0.000658332,0.000658332
4,28.486,1.67985,2.32827,1.18958,0.29282,0.48134,0.37913,0.18407,1.68809,2.06034,1.19588,0.000873532,0.000873532,0.000873532
5,34.4982,1.70671,2.18876,1.21491,0.71453,0.31035,0.36539,0.18825,1.68761,2.20951,1.25835,0.00108421,0.00108421,0.00108421
6,40.3769,1.69319,2.1349,1.24711,0.67274,0.37374,0.44037,0.19121,1.8927,3.29203,1.44,0.00129035,0.00129035,0.00129035
7,46.44,1.78727,4.81158,1.3255,0.73048,0.42298,0.4207,0.19566,1.80298,4.53463,1.36202,0.00134412,0.00134412,0.00134412
8,52.025,1.75815,2.22573,1.29406,0.68385,0.37014,0.42237,0.1923,1.78823,4.05487,1.3385,0.00132997,0.00132997,0.00132997
9,58.1533,1.70058,2.27047,1.24763,0.42644,0.24727,0.11617,0.05293,2.00098,3.88971,1.41939,0.00131582,0.00131582,0.00131582
10,63.9772,1.66762,1.95083,1.19629,0.59704,0.47298,0.40451,0.18083,1.74365,1.94833,1.29782,0.00130168,0.00130168,0.00130168
11,70.0551,1.60098,1.59868,1.30345,0.52435,0.49862,0.55098,0.2681,1.7857,1.70652,1.35628,0.00128753,0.00128753,0.00128753
12,76.015,1.71034,1.50225,1.30338,0.84577,0.51813,0.6064,0.28741,1.73304,1.45168,1.3389,0.00127338,0.00127338,0.00127338
13,82.1991,1.62011,1.2992,1.22157,0.93726,0.47512,0.59973,0.30022,1.72535,1.29353,1.32888,0.00125923,0.00125923,0.00125923
14,88.0245,1.62989,1.60218,1.24153,0.66602,0.54058,0.60603,0.28297,1.66279,1.78348,1.26369,0.00124509,0.00124509,0.00124509
15,94.1575,1.6683,1.33378,1.23042,0.61067,0.66399,0.65885,0.3249,1.84121,1.46596,1.39235,0.00123094,0.00123094,0.00123094
16,100.322,1.59766,1.30181,1.2049,0.64508,0.63148,0.6617,0.31889,1.66707,1.51358,1.31347,0.00121679,0.00121679,0.00121679
17,106.291,1.60697,1.41847,1.29919,0.81942,0.51129,0.6527,0.31711,1.652,1.45683,1.28301,0.00120265,0.00120265,0.00120265
18,112.513,1.60417,2.19302,1.2292,0.82986,0.5442,0.69242,0.32949,1.69345,1.47705,1.31414,0.0011885,0.0011885,0.0011885
19,118.591,1.5974,1.27882,1.25872,0.83515,0.70454,0.77981,0.36755,1.71101,1.24249,1.3073,0.00117435,0.00117435,0.00117435
20,124.983,1.61773,1.22582,1.27988,0.65785,0.59979,0.67707,0.32099,1.75169,1.48916,1.32558,0.00116021,0.00116021,0.00116021
